volume_id,sample_count,supported_pixels,support_weight_sum,method,tau_hold,high_risk_prevalence,auprc,auroc
file_brain_AXT2_200_6001972,16,4866048,1424020.3322753906,B3,1.7366089820861816,0.2653765214517858,0.28172834753060844,0.4915044640699322
file_brain_AXT2_200_6001972,16,4866048,1424020.3322753906,B4,1.7366089820861816,0.2653765214517858,0.3268531098569235,0.6456647764411699
file_brain_AXT2_200_6001972,16,4866048,1424020.3322753906,B5,1.7366089820861816,0.2653765214517858,0.26897915003707606,0.5034673766435499
file_brain_AXT2_200_6001972,16,4866048,1424020.3322753906,B6,1.7366089820861816,0.2653765214517858,0.41203476344090384,0.7281979471141637
file_brain_AXT2_200_6002111,16,4866048,1237814.7913208008,C0,1.7366089820861816,0.22218248780331007,0.7746543296990535,0.9137253264567908
file_brain_AXT2_200_6002111,16,4866048,1237814.7913208008,U1,1.7366089820861816,0.22218248780331,0.586108217182255,0.8288620159189677
file_brain_AXT2_200_6002111,16,4866048,1237814.7913208008,U2a,1.7366089820861816,0.22218248780331,0.2955249570019529,0.6426643709646583
file_brain_AXT2_200_6002111,16,4866048,1237814.7913208008,U2b,1.7366089820861816,0.22218248780331,0.2508614424752088,0.6190700390070452
file_brain_AXT2_200_6002111,16,4866048,1237814.7913208008,B1,1.7366089820861816,0.22218248780331007,0.448471894843988,0.7781740175124628
file_brain_AXT2_200_6002111,16,4866048,1237814.7913208008,B2,1.7366089820861816,0.22218248780331007,0.4523899414161425,0.7845231399260175
file_brain_AXT2_200_6002111,16,4866048,1237814.7913208008,B3,1.7366089820861816,0.22218248780331007,0.3080848638194568,0.587012823649624
file_brain_AXT2_200_6002111,16,4866048,1237814.7913208008,B4,1.7366089820861816,0.22218248780331007,0.40605502336837285,0.7586084394205364
file_brain_AXT2_200_6002111,16,4866048,1237814.7913208008,B5,1.7366089820861816,0.22218248780331007,0.22266970326995736,0.50096879648943
file_brain_AXT2_200_6002111,16,4866048,1237814.7913208008,B6,1.7366089820861816,0.22218248780331007,0.3650765659307099,0.728976514681176
file_brain_AXT2_200_6002151,14,4257792,1070429.883972168,C0,1.7366089820861816,0.3070655470863138,0.8277724438730172,0.9153250644792559
file_brain_AXT2_200_6002151,14,4257792,1070429.883972168,U1,1.7366089820861816,0.3070655470863138,0.7495290581932483,0.8591632044190209
file_brain_AXT2_200_6002151,14,4257792,1070429.883972168,U2a,1.7366089820861816,0.3070655470863138,0.4109772330286712,0.6719220995638419
file_brain_AXT2_200_6002151,14,4257792,1070429.883972168,U2b,1.7366089820861816,0.3070655470863138,0.4385727129862526,0.7538586170012262
file_brain_AXT2_200_6002151,14,4257792,1070429.883972168,B1,1.7366089820861816,0.3070655470863138,0.5915310949604154,0.8132952295106459
file_brain_AXT2_200_6002151,14,4257792,1070429.883972168,B2,1.7366089820861816,0.3070655470863138,0.595033981499498,0.8195606557867317
