threshold_name,threshold_value,volume_id,sample_count,supported_pixels,support_weight_sum,method,high_risk_prevalence,auprc,auroc
q95,2.0520856380462646,file_brain_AXT2_205_6000022,14,2867200,723386.7183227539,B3,0.16045336277681255,0.189494398145984,0.5347604118298757
q95,2.0520856380462646,file_brain_AXT2_205_6000022,14,2867200,723386.7183227539,B4,0.16045336277681255,0.2612051684541283,0.7189038542733575
q95,2.0520856380462646,file_brain_AXT2_205_6000022,14,2867200,723386.7183227539,B5,0.16045336277681255,0.16138909178474345,0.5014877815260663
q95,2.0520856380462646,file_brain_AXT2_205_6000022,14,2867200,723386.7183227539,B6,0.16045336277681255,0.2637288101167656,0.7219729140943065
q85,1.4107755422592163,file_brain_AXT2_207_2070039,16,3276800,955408.600769043,C0,0.4403318742626423,0.9159778122261235,0.9301657688702027
q85,1.4107755422592163,file_brain_AXT2_207_2070039,16,3276800,955408.600769043,U1,0.4403318742626423,0.7872961958439392,0.8246425795215291
q85,1.4107755422592163,file_brain_AXT2_207_2070039,16,3276800,955408.600769043,U2a,0.4403318742626423,0.45029267934179595,0.5688974953181963
q85,1.4107755422592163,file_brain_AXT2_207_2070039,16,3276800,955408.600769043,U2b,0.4403318742626423,0.44046794814521206,0.5746932216818408
q85,1.4107755422592163,file_brain_AXT2_207_2070039,16,3276800,955408.600769043,B1,0.4403318742626423,0.6042244909057028,0.6977893668641408
q85,1.4107755422592163,file_brain_AXT2_207_2070039,16,3276800,955408.600769043,B2,0.4403318742626423,0.6098566080119392,0.7070440220287388
q85,1.4107755422592163,file_brain_AXT2_207_2070039,16,3276800,955408.600769043,B3,0.4403318742626423,0.5447508955096481,0.5943458692230067
q85,1.4107755422592163,file_brain_AXT2_207_2070039,16,3276800,955408.600769043,B4,0.4403318742626423,0.6825076280127457,0.7834051205505315
q85,1.4107755422592163,file_brain_AXT2_207_2070039,16,3276800,955408.600769043,B5,0.4403318742626423,0.4400127232238926,0.4990332591266837
q85,1.4107755422592163,file_brain_AXT2_207_2070039,16,3276800,955408.600769043,B6,0.4403318742626423,0.5705109267394892,0.691042472152199
q95,2.0520856380462646,file_brain_AXT2_207_2070039,16,3276800,955408.600769043,C0,0.16786611390645845,0.7665498924139872,0.9567455223513113
q95,2.0520856380462646,file_brain_AXT2_207_2070039,16,3276800,955408.600769043,U1,0.16786611390645845,0.5689444260577902,0.8803597021883456
q95,2.0520856380462646,file_brain_AXT2_207_2070039,16,3276800,955408.600769043,U2a,0.16786611390645845,0.14541664999268192,0.47163566496867604
q95,2.0520856380462646,file_brain_AXT2_207_2070039,16,3276800,955408.600769043,U2b,0.16786611390645845,0.13164656312683895,0.40007017740343154
